review_id,产品,地区,评分,标签,置信度,代表原话,评论标题,评论内容,评论链接
6535791588,流利说·英语,cn,3,学习内容与体系质量差,1.0,但是这个定制其实都是格式化模板，缺乏温度,用好了就能价值最大化,流利说可以说是我坚持用得最久的一个软件，也推荐给很多身边的朋友，虽然里面有很多付费课程，但是你完全可以利用他的免费资源长期学习！说句实话，流利说对我的口语提升起来很大的作用，也让我学会了把碎片时间利用起来，这点是非常肯定的，不过作为收费项目的课程部分，我认为有很多需要提升的地方，不能只是吸引学员报名，一进软件就到处都是推荐和定制，但是这个定制其实都是格式化模板，缺乏温度。我觉得这个已经和最初的流利说完全不一样了，希望流利说能保持初心，不断提升！,https://itunes.apple.com/cn/review?id=597364850&type=Purple%20Software&mt=8&reviewId=6535791588
2257604847,流利说·英语,cn,3,应用稳定性与技术问题,1.0,各种bug各种闪退登陆不上,付费时间到期，之前得到的钻石课全没了,付费半年的时候，对软件的功能是有肯定的地方的，虽然各种bug各种闪退登陆不上，这些都能理解。开始只靠听，后来改进了可以提前看单词，开始我很努力在学，获得了一些赠送的钻石课，后来发现效率基本提高不了自己又有其他事没坚持下来，课程快到期的时候班主任热情的介绍续费，现在过期了，之前得到的钻石课程全部没有了，不知道为什么，想再续费，问续费的问题还能理，问钻石课的时候完全不理人，软件做大了细节不到位能理解，但是对于购买年费的顾客，在活动中得到的赠送课程能不能别过了付费时间就取消，这点太让人不能理解了，有必要这样么？,https://itunes.apple.com/cn/review?id=597364850&type=Purple%20Software&mt=8&reviewId=2257604847
2257604847,流利说·英语,cn,3,客户服务响应差,1.0,问钻石课的时候完全不理人,付费时间到期，之前得到的钻石课全没了,付费半年的时候，对软件的功能是有肯定的地方的，虽然各种bug各种闪退登陆不上，这些都能理解。开始只靠听，后来改进了可以提前看单词，开始我很努力在学，获得了一些赠送的钻石课，后来发现效率基本提高不了自己又有其他事没坚持下来，课程快到期的时候班主任热情的介绍续费，现在过期了，之前得到的钻石课程全部没有了，不知道为什么，想再续费，问续费的问题还能理，问钻石课的时候完全不理人，软件做大了细节不到位能理解，但是对于购买年费的顾客，在活动中得到的赠送课程能不能别过了付费时间就取消，这点太让人不能理解了，有必要这样么？,https://itunes.apple.com/cn/review?id=597364850&type=Purple%20Software&mt=8&reviewId=2257604847
5632541461,流利说·英语,cn,3,发音识别准确率低,1.0,感觉经常读不准,我的看法与建议,这里面的内容有好有坏，我也不能一票否决。好的地方就在于里面的情景对话，可以学到怎么和别人交谈，我觉得还蛮实用。坏的地方就在于开头的考试，个人感觉有点不准。还有里面的跟读环节，感觉经常读不准，久而久之就会打击别人的自信心，希望可以放宽一点。还有关于为什么不放出文章，我比较难理解。因为我觉得让人看着读不仅训练了他的语法，又可以让人记住句子和单词，这不是一举两得嘛？关于我为什么不会推荐给我的盆友们，我是觉得这个软件的弊端还有太多太多，需要多改进。等到你们真正把它做成一个好软件的时候，相信不需要我们的推荐也会有很多人不请自来吧！这是我的意见，望采纳🙏,https://itunes.apple.com/cn/review?id=597364850&type=Purple%20Software&mt=8&reviewId=5632541461
3650542491,流利说·英语,cn,3,客户服务响应差,1.0,我反应过很多次。都是敷衍,希望解决的问题,作为一个海外党，用这个软件最不喜欢的是单词本在海外是用不了的。学英语一个整体的句子读下来，会遇到单词发音的问题，找班班也好找助教也好，都只是建议性的单词讲解，但是真正可以把单词完全读好练习好需要大量练习。这个时候单词本就变的很重要。发音过程中的错误可以通过单词本一遍一遍的矫正。但是现在在外面这个功能完全用不了。让人感觉很无奈又很不公平。都是交了很多钱学英语，需要的功能用不了，我反应过很多次。都是敷衍，很是生气。真的希望可以看到我的评论，考虑这个问题,https://itunes.apple.com/cn/review?id=597364850&type=Purple%20Software&mt=8&reviewId=3650542491
6199120494,流利说·英语,cn,3,学习内容与体系质量差,1.0,配音材料太少了,喜欢旧版本的举起你们的小爪爪,我觉得体验感是变差了，以前的录音时长榜没了，我关注的人没了，真人对话都不可以查看别人的信息，我辛辛苦苦录的录音说没就没，也没有了以前的那种及格会有金币声响的声音了，虽然说来了个配音，但是配音材料太少了，我都找不到自己喜欢的，还有就是口语力也没有了，学习没有动力了，以前的组队打卡瓜分金币的也没有了，以前的金币说没就没，…我真的觉得以前的流利说真的太棒了，为什么要改呢！给三星是因为以前的流利说给了我一个极佳的体验，希望出版商能够更多的关注一下用户的需求，相信这样的流利说才能够走向世界。,https://itunes.apple.com/cn/review?id=597364850&type=Purple%20Software&mt=8&reviewId=6199120494
6170860202,流利说·英语,cn,2,发音识别准确率低,1.0,AI判定误差...说我l发得像n,改进空间太大了,大学的时候老师推荐的，那个时候还叫英语流利说，下下来看了一下但是并没有使用。最近重新下载，看到有一周的AI体验课就购买试用了。不得不说有很多小问题，最最最主要的就是AI判定误差（可能对收音设备要求也比较高吧），我一个普通话二甲、从来不会在鼻边音问题上栽跟头的人，你说我l发得像n？？？还按着我的头让我学了半天区分。而且这个问题并不能在学习过程中报错。很多时候说我学习之前和学习之后有很大提升、分数一下加了二三十分，但其实我根本没找到前后发音上的任何区别，甚至没有找到和示范读音在考察项目方面的区别。说到这里，还有一个问题就是判定标准都是按美音来的是吧？助教老师的意思是如果是英音可能会对判定结果有影响，让大家跟课按美音读学会了各种共通的语音现象再去联系英音。凭啥呢？好不容易养成的英音发音习惯才不要因为一个12块的课改掉。,https://itunes.apple.com/cn/review?id=597364850&type=Purple%20Software&mt=8&reviewId=6170860202
6170860202,流利说·英语,cn,2,语言种类与口音支持不足,1.0,判定标准都是按美音来的是吧？,改进空间太大了,大学的时候老师推荐的，那个时候还叫英语流利说，下下来看了一下但是并没有使用。最近重新下载，看到有一周的AI体验课就购买试用了。不得不说有很多小问题，最最最主要的就是AI判定误差（可能对收音设备要求也比较高吧），我一个普通话二甲、从来不会在鼻边音问题上栽跟头的人，你说我l发得像n？？？还按着我的头让我学了半天区分。而且这个问题并不能在学习过程中报错。很多时候说我学习之前和学习之后有很大提升、分数一下加了二三十分，但其实我根本没找到前后发音上的任何区别，甚至没有找到和示范读音在考察项目方面的区别。说到这里，还有一个问题就是判定标准都是按美音来的是吧？助教老师的意思是如果是英音可能会对判定结果有影响，让大家跟课按美音读学会了各种共通的语音现象再去联系英音。凭啥呢？好不容易养成的英音发音习惯才不要因为一个12块的课改掉。,https://itunes.apple.com/cn/review?id=597364850&type=Purple%20Software&mt=8&reviewId=6170860202
1792010705,流利说·英语,cn,2,教学方式缺乏系统性,1.0,AI的发音特别快，跟国人口音差别很大,学习方式需更科学化人性化,软件总体不错，很实用。但我个人觉得轻松学的课程比付费的定制学课程更合理。因为轻松学兼顾了初级水平用户习惯，图片，句型，单词都显示，注重理解性学习，然后听力跟读要求高，便于用户听看说记，能提升口语能力和学习信心，而且课程自由选择余地大。而定制学课程重在训练听力，没有句型单词显示，只有图片，而且词汇与句型出现没有较好的难易度递进，有时AI的发音特别快，跟国人口音差别很大，看不见句子单词，即便会的单词词组也会跟读念错，纯粹是茫然的鹦鹉学舌，无法理解消化，主要靠机械记忆。甚至还出现图片新句型还未来得及巩固就突然出现练习，结果两种图片界面混在一起崩溃，还无法返回，必须得重头再做，浪费很多时间。根据这样的课程安排，初学者每天只需30分钟要想顺利进阶，是理想中的童话。希望程序猿能尽快改进，要以用户需求为本，体现学习方式的科学性。,https://itunes.apple.com/cn/review?id=597364850&type=Purple%20Software&mt=8&reviewId=1792010705
1792010705,流利说·英语,cn,2,学习内容与体系质量差,1.0,词汇与句型出现没有较好的难易度递进,学习方式需更科学化人性化,软件总体不错，很实用。但我个人觉得轻松学的课程比付费的定制学课程更合理。因为轻松学兼顾了初级水平用户习惯，图片，句型，单词都显示，注重理解性学习，然后听力跟读要求高，便于用户听看说记，能提升口语能力和学习信心，而且课程自由选择余地大。而定制学课程重在训练听力，没有句型单词显示，只有图片，而且词汇与句型出现没有较好的难易度递进，有时AI的发音特别快，跟国人口音差别很大，看不见句子单词，即便会的单词词组也会跟读念错，纯粹是茫然的鹦鹉学舌，无法理解消化，主要靠机械记忆。甚至还出现图片新句型还未来得及巩固就突然出现练习，结果两种图片界面混在一起崩溃，还无法返回，必须得重头再做，浪费很多时间。根据这样的课程安排，初学者每天只需30分钟要想顺利进阶，是理想中的童话。希望程序猿能尽快改进，要以用户需求为本，体现学习方式的科学性。,https://itunes.apple.com/cn/review?id=597364850&type=Purple%20Software&mt=8&reviewId=1792010705
